Customer ID,Number of Items,Kiosk Type,Kiosk Number,Time In Line,Time to Checkout,Employee Involved?
388,22.0,cashier,1,0.0,44.5746063656,False
385,3.0,self,2,0.0,127.244560329,False
390,18.0,cashier,0,0.0,54.4503484319,False
394,6.0,cashier,0,0.0,18.150116144,False
391,23.0,cashier,2,0.0,76.5065237649,False
393,24.0,cashier,1,0.0,48.6268433079,False
389,2.0,self,0,0.0,122.799561504,True
395,29.0,cashier,0,0.0,87.7255613626,False
397,6.0,cashier,2,0.0,19.9582235908,False
396,35.0,cashier,1,0.0,70.9141464907,False
398,17.0,cashier,3,0.0,32.380069525,False
392,4.0,self,0,96.5199809446,98.7339725637,True
375,13.0,self,1,270.374002885,372.412148062,False
399,8.0,cashier,0,0.0,24.2001548586,False
403,22.0,cashier,0,0.0,66.5504258613,False
400,4.0,self,0,0.0,125.042670611,True
407,22.0,cashier,0,0.0,66.5504258613,False
411,9.0,cashier,3,0.0,17.1423897485,False
405,3.0,self,0,57.9195544095,73.3160678638,False
408,30.0,cashier,1,0.0,60.7835541349,False
412,17.0,cashier,0,0.0,51.4253290746,False
401,10.0,self,1,0.0,228.26803613,False
406,2.0,self,0,103.754429023,54.4592025147,True
410,31.0,cashier,2,0.0,103.117488553,False
413,29.0,cashier,1,0.0,58.7574356637,False
404,1,self,1,201.641743356,37.5318369596,False
416,5.0,cashier,1,0.0,10.1305923558,False
418,6.0,cashier,1,0.0,12.156710827,False
415,21.0,cashier,0,0.0,63.5254065039,False
414,4.0,self,0,0.0,118.023055033,False
417,18.0,cashier,2,0.0,59.8746707725,False
419,24.0,cashier,0,0.0,72.6004645759,False
420,29.0,cashier,1,0.0,58.7574356637,False
422,26.0,cashier,3,0.0,49.5224592735,False
421,21.0,cashier,2,0.0,69.853782568,False
423,22.0,cashier,0,0.0,66.5504258613,False
424,1,self,0,0.0,67.7304668803,True
427,2.0,self,0,0.0,30.6248354498,False
426,29.0,cashier,0,0.0,87.7255613626,False
402,20.0,self,2,0.0,717.380888711,False
429,26.0,cashier,1,0.0,52.6790802502,False
428,3.0,self,0,0.0,96.3415130046,True
430,21.0,cashier,0,0.0,63.5254065039,False
425,5.0,self,1,0.0,210.270406141,False
431,28.0,cashier,1,0.0,56.7313171926,False
434,6.0,cashier,3,0.0,11.4282598323,False
409,4.0,self,2,591.560151904,109.901923017,False
432,23.0,cashier,0,0.0,69.5754452186,False
435,1,self,0,0.0,23.5837927791,False
433,30.0,cashier,2,0.0,99.7911179542,False
436,10.0,cashier,0,0.0,30.2501935733,False
437,22.0,cashier,1,0.0,44.5746063656,False
438,22.0,cashier,3,0.0,41.9036193853,False
